rowid,rowid2,hour.range,urban,Weekday.Non-Rain.Construction,Weekday.Non-Rain.Non-Construction,Weekday.Rain.Construction,Weekday.Rain.Non-Construction,Weekend.Non-Rain.Construction,Weekend.Non-Rain.Non-Construction,Weekend.Rain.Construction,Weekend.Rain.Non-Construction
1,2796,Afternoon Rush,Northern Indiana,49.72,43,50,46,NA,47,NA,47
1,2797,Afternoon Rush,Northern Indiana,49.76,43,50,46,NA,47,NA,47.25
1,2798,Afternoon Rush,Northern Indiana,49.8,43.2,50,46.6,NA,47,NA,47.5
1,2799,Afternoon Rush,Northern Indiana,49.84,44,50,47,NA,47,NA,47.75
1,2800,Afternoon Rush,Northern Indiana,49.88,44,50,47,NA,47,NA,48
1,2801,Afternoon Rush,Northern Indiana,49.92,44,50,47,NA,47,NA,48
1,2802,Afternoon Rush,Northern Indiana,49.96,45,50,47,NA,47,NA,48
1,2803,Afternoon Rush,Northern Indiana,50,45,50,47,NA,48,NA,48
1,2804,Afternoon Rush,Northern Indiana,50,45,50,47,NA,48,NA,48
1,2805,Afternoon Rush,Northern Indiana,50,46,50,47,NA,48,NA,48
1,2806,Afternoon Rush,Northern Indiana,50,46,50,47.64,NA,48,NA,48
1,2807,Afternoon Rush,Northern Indiana,50,46,50,48,NA,48,NA,48
1,2808,Afternoon Rush,Northern Indiana,50,46,50,48,NA,48,NA,48
1,2809,Afternoon Rush,Northern Indiana,50,47,50,48,NA,48,NA,48.25
1,2810,Afternoon Rush,Northern Indiana,50,47,50,48,NA,48,NA,48.5
1,2811,Afternoon Rush,Northern Indiana,50,47,50,48,NA,48,NA,48.75
1,2812,Afternoon Rush,Northern Indiana,50,47,50,48,NA,48,NA,49
1,2813,Afternoon Rush,Northern Indiana,50,47,50,48,NA,48,NA,49.25
1,2814,Afternoon Rush,Northern Indiana,50,48,50,48,NA,49,NA,49.5
1,2815,Afternoon Rush,Northern Indiana,50,48,50,48,NA,49,NA,49.75
1,2816,Afternoon Rush,Northern Indiana,50,48,50,48,NA,49,NA,50
1,2817,Afternoon Rush,Northern Indiana,50,48,50,48,NA,49.84,NA,50
1,2818,Afternoon Rush,Northern Indiana,50,49,50,48,NA,50,NA,50
1,2819,Afternoon Rush,Northern Indiana,50,49,50,48.58,NA,50,NA,50
1,2820,Afternoon Rush,Northern Indiana,50,49,50,49,NA,50,NA,50
1,2821,Afternoon Rush,Northern Indiana,50,49,50,49,NA,50,NA,50
1,2822,Afternoon Rush,Northern Indiana,50,49.44,50,49,NA,50,NA,50
1,2823,Afternoon Rush,Northern Indiana,50,50,50,49,NA,50,NA,50
1,2824,Afternoon Rush,Northern Indiana,50,50,50,49.48,NA,50,NA,50
1,2825,Afternoon Rush,Northern Indiana,50,50,50,50,NA,50,NA,50
1,2826,Afternoon Rush,Northern Indiana,50,50,50,50,NA,50,NA,50
1,2827,Afternoon Rush,Northern Indiana,50,50,50,50,NA,50,NA,50
