"xdid","position","lon","lat","direction"
1450832369,51,-87.29554,41.22025,"S"
1363493753,445,-85.7651,38.43555,"S"
1363532793,7,-85.75223,38.30853,"N"
1450837517,33,-87.32625,41.38342,"S"
1363468985,435,-85.77467,38.52977,"S"
1363609737,356,-85.95801,39.12606,"S"
1450821155,31,-87.32468,41.39252,"S"
1450831533,101,-87.1498,40.80653,"S"
1363436047,392,-85.81072,38.85373,"S"
1363583201,329,-86.92773,40.55122,"N"
1363626317,123,-85.95565,39.21186,"N"
1363566771,170,-86.05538,39.57138,"N"
1363609423,308,-86.01651,39.49198,"S"
1363614653,420,-85.78252,38.66431,"S"
1450789703,399,-87.26669,41.08811,"N"
1450803040,64,-87.2656,41.10617,"S"
139122268,44,-85.78209,38.618,"N"
1363485316,280,-86.61919,40.23025,"N"
1363563664,413,-85.79408,38.70617,"S"
1363609320,299,-86.04639,39.55789,"S"
1450788395,369,-87.17574,40.8444,"N"
1450788495,378,-87.21596,40.91826,"N"
1363466791,416,-85.78825,38.68574,"S"
1363540727,182,-86.64493,40.25184,"S"
1363484205,230,-86.29874,39.88546,"N"
1363503291,250,-86.20539,39.82394,"S"
1363605739,88,-85.84333,38.9547,"N"
139108441,369,-85.87881,39.01729,"S"
140036051,99,-85.8875,39.0251,"N"
1363559195,230,-86.35199,39.94545,"S"
1450788345,372,-87.19126,40.87004,"N"
1450798305,16,-87.31995,41.50657,"S"
1450832933,21,-87.32413,41.47088,"S"
1363484557,254,-86.47377,40.0354,"N"
1363489671,257,-86.165,39.79562,"S"
1363493715,448,-85.76499,38.40323,"S"
1363532755,9,-85.75404,38.32897,"N"
1363540543,195,-86.54422,40.16225,"S"
1346452881,127,-86.98677,40.61445,"S"
1363484289,217,-86.19919,39.82293,"N"
1363493615,440,-85.77119,38.48185,"S"
1363499029,136,-85.95937,39.30741,"N"
1363566815,115,-85.9581,39.15204,"N"
1363526432,256,-86.16607,39.8022,"S"
1363534277,105,-85.92519,39.07103,"N"
1450789108,462,-87.30641,41.58774,"N"
1450832324,46,-87.2972,41.2673,"S"
1363484974,289,-86.69684,40.28425,"N"
1363435506,386,-85.8202,38.90131,"S"
1363599922,316,-85.97772,39.43127,"S"
1363608814,282,-86.10153,39.68059,"S"
1450789598,390,-87.26997,41.0063,"N"
1346388942,349,-87.06077,40.69539,"N"
1363474773,203,-86.50794,40.09592,"S"
1363485669,301,-86.78053,40.36656,"N"
1363491878,142,-86.89106,40.51026,"S"
1363540453,186,-86.61247,40.22498,"S"
1363582937,333,-86.95398,40.58105,"N"
1363583237,324,-86.8939,40.51459,"N"
1363589546,253,-86.17968,39.81211,"S"
1363609777,353,-85.95831,39.14268,"S"
139162726,102,-85.91008,39.04513,"N"
1346452114,120,-87.03627,40.66506,"S"
1363525413,260,-86.15857,39.78274,"S"
1363544290,90,-85.84332,38.95875,"N"
1450789718,398,-87.27047,41.07735,"N"
1450803129,66,-87.26656,41.0889,"S"
1363421829,157,-86.8177,40.414,"S"
1363612147,248,-86.22543,39.82384,"S"
1363624379,189,-86.10694,39.69902,"N"
1450780345,408,-87.27337,41.16743,"N"
1450798411,19,-87.32143,41.48488,"S"
1450838505,37,-87.31243,41.34858,"S"
1363485667,310,-86.8286,40.42631,"N"
1363491865,143,-86.88521,40.5028,"S"
1363498785,206,-86.49709,40.0697,"S"
1363533849,73,-85.81646,38.84048,"N"
1363599829,323,-85.94277,39.37206,"S"
1363609789,352,-85.95841,39.15224,"S"
1450780313,410,-87.28206,41.18355,"N"
1450803159,72,-87.27126,41.03725,"S"
1450840377,1,-87.30713,41.59813,"S"
1363433223,232,-86.33914,39.93071,"S"
1363533731,66,-85.82028,38.78894,"N"
1363540415,189,-86.5859,40.20653,"S"
1450788301,367,-87.16789,40.82791,"N"
1450789837,433,-87.32655,41.38583,"N"
1450803827,93,-87.19157,40.86994,"S"
1363567323,200,-86.14323,39.74935,"N"
1363600715,145,-85.9427,39.38474,"N"
1363485384,275,-86.57565,40.1994,"N"
1363503300,238,-86.29668,39.88338,"S"
1363484648,264,-86.5146,40.11625,"N"
1450795556,358,-87.11697,40.76173,"N"
1363438656,302,-86.78402,40.37463,"N"
1450758888,428,-87.31213,41.34865,"N"
1363583252,325,-86.89963,40.52246,"N"
1363435480,388,-85.8106,38.88694,"S"
1450832424,55,-87.28296,41.18448,"S"
1363484733,258,-86.49519,40.06594,"N"
1363518786,394,-85.81694,38.84018,"S"
1363533458,23,-85.76481,38.42875,"N"
1363533694,86,-85.84251,38.93811,"N"
1363609409,309,-86.01536,39.4879,"S"
1363485162,291,-86.71662,40.29809,"N"
1363504114,64,-85.82777,38.7818,"N"
1450759470,23,-87.32292,41.46201,"S"
1363599342,313,-85.99806,39.45392,"S"
1363533312,19,-85.76237,38.3938,"N"
1363600214,162,-86.78607,40.38083,"S"
1450789554,385,-87.24538,40.97134,"N"
138827510,124,-85.95401,39.22018,"N"
1363484780,236,-86.33758,39.92928,"N"
1363485148,292,-86.72205,40.30238,"N"
1363547720,453,-85.75676,38.37322,"S"
1363435394,379,-85.84363,38.95483,"S"
1363599896,320,-85.94742,39.40301,"S"
1363630730,47,-85.78363,38.64178,"N"
1450792612,80,-87.24599,40.97152,"S"
1363493586,442,-85.77069,38.46311,"S"
1363540714,183,-86.63738,40.24474,"S"
1363450902,142,-85.94223,39.35743,"N"
1363630594,39,-85.77867,38.57172,"N"
1450788282,360,-87.12691,40.77752,"N"
1346387206,110,-87.09726,40.74011,"S"
1450830230,15,-87.31995,41.51282,"S"
1363467380,405,-85.82375,38.75002,"S"
1363592256,205,-86.14118,39.7774,"N"
1346452852,121,-87.03138,40.66186,"S"
1363485196,273,-86.56186,40.18462,"N"
1363492248,129,-86.97699,40.60169,"S"
1363533628,93,-85.84334,38.98064,"N"
1450767692,364,-87.14945,40.80661,"N"
