"","urban","hour.range","weekend","event","construction","mean","min","max","std","var"
"48","Rural","Evening","Weekday",TRUE,"Construction",65.0308116980006,7,83,5.09013982489799,25.9095234370125
"49","Indianapolis","Evening","Weekday",FALSE,"Non-Construction",61.8486863156398,0,84,7.40700151393018,54.8636714273639
"50","Indianapolis","Evening","Weekday",TRUE,"Non-Construction",60.4723522527794,16,83,6.60435853734662,43.6175516898232
"51","Indianapolis","Morning","Weekday",FALSE,"Non-Construction",60.2430912188323,4,84,5.0879541410005,25.8872773409242
"52","Indianapolis","Morning","Weekday",TRUE,"Non-Construction",60.3838263121203,30,82,5.07971057259218,25.8034595013047
"53","Indianapolis","Morning Rush","Weekday",FALSE,"Non-Construction",61.1030803290154,3,84,7.05254792169718,49.7384321878352
"54","Indianapolis","Afternoon Rush","Weekday",FALSE,"Non-Construction",61.2420911327353,0,84,8.09878633480181,65.5903400967725
"55","Indianapolis","Evening","Weekend",FALSE,"Non-Construction",62.4432875151343,6,83,6.08527872742897,37.0306171904996
"56","Indianapolis","Morning","Weekend",FALSE,"Non-Construction",60.427226067712,6,83,5.55989678526537,30.9124522628042
"57","Indianapolis","Morning Rush","Weekend",FALSE,"Non-Construction",62.2073174157303,5,84,5.63614757288052,31.7661594632869
"58","Indianapolis","Afternoon Rush","Weekend",FALSE,"Non-Construction",63.5012266545656,12,83,6.09751753738732,37.179720118746
"59","Indianapolis","Morning","Weekend",TRUE,"Non-Construction",58.5401691331924,11,68,7.15208731680736,51.1523529872366
"60","Indianapolis","Afternoon Rush","Weekday",TRUE,"Non-Construction",58.2841479145765,6,81,10.8652884871719,118.05449390947
"61","Indianapolis","Evening","Weekend",TRUE,"Non-Construction",61.0449559431757,37,79,5.52523252243884,30.5281944270158
"62","Indianapolis","Afternoon Rush","Weekend",TRUE,"Non-Construction",61.0512118018967,14,83,6.57653620378529,43.2508284396986
"63","Indianapolis","Morning Rush","Weekend",TRUE,"Non-Construction",60.7857491459248,3,83,7.41774321171173,55.0229143548955
"64","Indianapolis","Morning Rush","Weekday",TRUE,"Non-Construction",59.5263337601366,17,83,7.23023540996948,52.2763040835765
"65","Northern Indiana","Evening","Weekday",FALSE,"Construction",65.6182319806874,25,83,3.99245060428498,15.9396618276555
"66","Northern Indiana","Evening","Weekday",TRUE,"Construction",64.6939501779359,45,81,3.62646950040973,13.151281037402
"67","Northern Indiana","Morning","Weekday",FALSE,"Construction",64.3352584123991,9,81,2.90374535505072,8.43173708697865
"68","Northern Indiana","Morning Rush","Weekday",FALSE,"Construction",65.8335046248715,6,83,4.02479821973803,16.1990007096064
"69","Northern Indiana","Afternoon Rush","Weekday",FALSE,"Construction",64.9182953625535,47,82,3.3616732800052,11.3008472415009
"70","Northern Indiana","Evening","Weekend",FALSE,"Construction",66.2038585209003,29,83,4.64652100816701,21.5901574793374
"71","Northern Indiana","Morning","Weekend",FALSE,"Construction",64.1080047086521,21,83,3.0559830349034,9.33903230961738
"72","Northern Indiana","Morning Rush","Weekend",FALSE,"Construction",65.9548796309644,50,82,3.43960239942956,11.8308646661616
"73","Northern Indiana","Afternoon Rush","Weekend",FALSE,"Construction",67.0725838791605,52,83,4.34648402614356,18.8919233895211
"74","Northern Indiana","Evening","Weekend",TRUE,"Construction",66.1766784452297,40,80,4.29132643190565,18.415482545172
"75","Northern Indiana","Morning","Weekend",TRUE,"Construction",63.3016431924883,54,71,2.05032962857617,4.20385158581731
"76","Northern Indiana","Morning Rush","Weekday",TRUE,"Construction",64.5710594315245,51,78,3.49988767201679,12.2492137167351
"77","Northern Indiana","Afternoon Rush","Weekday",TRUE,"Construction",64.1877444589309,41,79,3.99999425927734,15.9999540742517
"78","Northern Indiana","Morning Rush","Weekend",TRUE,"Construction",64.9217625899281,38,79,3.19261543097825,10.1927932901204
"79","Northern Indiana","Afternoon Rush","Weekend",TRUE,"Construction",66.7479806138934,52,81,5.04970199636085,25.4994902520507
"80","Northern Indiana","Morning","Weekday",TRUE,"Construction",64.6085932901707,32,78,2.89863240345231,8.40206981034373
"81","Northern Indiana","Evening","Weekday",FALSE,"Non-Construction",65.1729463716853,4,84,5.93497545885454,35.2239336972056
"82","Northern Indiana","Evening","Weekday",TRUE,"Non-Construction",64.0994228751312,32,84,5.31227219044059,28.2202358253285
"83","Northern Indiana","Morning","Weekday",FALSE,"Non-Construction",63.354831922951,6,84,4.75585527924459,22.6181594371187
"84","Northern Indiana","Morning Rush","Weekday",FALSE,"Non-Construction",65.3456986899563,6,83,6.62369609149513,43.8733499124878
"85","Northern Indiana","Afternoon Rush","Weekday",FALSE,"Non-Construction",63.8822150296693,4,83,7.31195906813636,53.4647454141016
